title,content,description,url,published_at,source,symbol
What the Trump-Musk breakup may mean for SpaceX and Tesla,"""If I cared about subsidies,"" Elon Musk said in 2015, ""I would have entered the oil and gas industry.""
Yet the history of Musk's business empire tells another story.
Musk's companies have long been… [+6846 chars]","From space travel to military operations to the future of green energy, the U.S. has become reliant on Elon Musk's business empire. But it won't be easy for the government to end its reliance on Musk.",https://www.npr.org/2025/06/06/nx-s1-5424689/elon-musk-trump-fight-subsidies-spacex-tesla,2025-06-06T09:00:00Z,NPR,RELIANCE
OpenAI Wants to get College Kids Hooked on AI,"AI chatbots like OpenAI’s ChatGPT have been shown repeatedly to provide false information, hallucinate completely made-up sources and facts, and lead people astray with their confidently wrong answer… [+3284 chars]",Coming to a campus near you.,https://gizmodo.com/openai-wants-to-get-college-kids-hooked-on-ai-2000612915,2025-06-07T19:00:54Z,Gizmodo.com,RELIANCE
A GPS Blackout Would Shut Down the World,"Around 12,500 miles above our heads, the satellites that make up the Global Positioning System (GPS) quietly keep the world running. A blackout would result in almost instantaneous chaos.
You would … [+2777 chars]","GPS jamming and spoofing attacks are on the rise. If the global navigation system the US relies on were to go down entirely, it would send the world into unprecedented chaos.",https://www.wired.com/story/youre-not-ready-for-a-gps-blackout/,2025-06-04T10:00:00Z,Wired,RELIANCE
The Mad Dual-Hatter,"This is an edition of The Atlantic Daily, a newsletter that guides you through the biggest stories of the day, helps you discover new ideas, and recommends the best in culture. Sign up for it here.Un… [+9445 chars]",Trump’s reliance on the same group of officials to fill multiple jobs is dangerous.,https://www.theatlantic.com/newsletters/archive/2025/05/marco-rubio-jobs-trump-administration/682822/,2025-05-15T21:23:00Z,The Atlantic,RELIANCE
"China's 7-Year Tech Independence Push Yields Major Gains in AI, Robotics and Semiconductors","China has achieved substantial technological advances across robotics, AI, and semiconductor manufacturing as part of a seven-year self-reliance campaign that has tripled the country's research and d… [+951 chars]","China has achieved substantial technological advances across robotics, AI, and semiconductor manufacturing as part of a seven-year self-reliance campaign that has tripled the country's research and development spending to $500 billion annually. 

Chinese robo…",https://tech.slashdot.org/story/25/05/22/1850252/chinas-7-year-tech-independence-push-yields-major-gains-in-ai-robotics-and-semiconductors,2025-05-22T20:01:00Z,Slashdot.org,RELIANCE
Former OpenAI VP says human taste will become the 'real differentiator' in a world where AI 'drivel' is easily generated,"Krithika Shankarraman, former VP of marketing at OpenAI, said human taste will become a distinguishing factor.Jonathan Raa/NurPhoto
<ul><li>Krithika Shankarraman, former VP of marketing at OpenAI, s… [+3283 chars]","""The companies that are going to distinguish themselves are the ones that show their craft,"" said former OpenAI VP of marketing Krithika Shankarraman.",https://www.businessinsider.com/stem-degree-human-taste-important-ai-marketing-former-openai-vp-2025-5,2025-05-27T21:18:39Z,Business Insider,RELIANCE
"China’s AI chip tool QiMeng beats engineers, designs processors in just days","As the US-China tech war intensifies, both nations are racing to secure independence in critical technologies. With Washington tightening access to advanced chip tools, Beijing is ramping up efforts … [+3037 chars]","In a tech war twist, China’s top science body launches an open-source AI system that can design chips faster than human engineers.",https://interestingengineering.com/innovation/chinas-ai-chip-tool-qimeng-beats-engineers-designs-processors-in-just-days,2025-06-10T23:23:03Z,Interesting Engineering,RELIANCE
Did Apple get too big for its own good? With Daring Fireball’s John Gruber,"Did Apple get too big for its own good? With Daring Fireballs John Gruber
Breaking down the latest Epic v. Apple ruling and what it means for the future of the App Store.
Did Apple get too big for … [+6075 chars]","We’re doing something a little different on today’s episode of Decoder. I asked my friend John Gruber, of the website Daring Fireball, to come on the show and talk about the future of Apple — and, importantly, the App Store. Gruber and I have been friends for…",https://www.theverge.com/decoder-podcast-with-nilay-patel/664802/apple-app-store-iphone-ios-fortnite-epic-games-lawsuit,2025-05-12T13:50:32Z,The Verge,RELIANCE
‘Sony: Because Caucasians Are Just Too Damn Tall’,"Here’s a spoof commercial from the 1990 movie Crazy People, starring Dudley Moore and Daryl Hannah, which TMDB synopsizes:


 A bitter ad executive, who has reached his breaking point, finds
himself … [+219 chars]",,https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D96iJsdGkl44,2025-05-26T22:29:27Z,YouTube,RELIANCE
Japan's latest Moon landing looks to have failed after ispace probe goes dark,"Japanese firm ispaces latest attempt to land a craft on the Moon appears to have failed, after its Hakuto-R lander, dubbed Reliance, went dark while approaching the lunar surface.
In a livestreamed … [+2326 chars]","Latest telemetry has it 200 meters underground
Japanese firm ispace’s latest attempt to land a craft on the Moon appears to have failed, after its Hakuto-R lander, dubbed Reliance, went dark while approaching the lunar surface.…",https://www.theregister.com/2025/06/05/ispace_moon_landing/,2025-06-05T23:50:22Z,Theregister.com,RELIANCE
Indian IT giant investigates M&S cyber attack link,"An Indian IT company is conducting an internal investigation to determine whether it was the gateway for the cyber attack on Marks &amp; Spencer, BBC News understands.
Tata Consultancy Services (TCS… [+2110 chars]",M&S said earlier this week that the hackers got into systems via a third party - but did not say who that was.,https://www.bbc.com/news/articles/c989le2p3lno,2025-05-23T19:13:07Z,BBC News,TCS
M&S hack may have been caused by security issues at Indian IT giant Tata Consultancy Services,<ul><li>Marks &amp; Spencer suffered a cyber-incident in April 2025</li><li>Reports claimed the attack was the work of ScatteredSpider</li><li>Tata Consultancy Services is investigating if the attack… [+2290 chars],"Disruption at M&S has been going on for weeks, and this could be why.",https://www.techradar.com/pro/security/m-and-s-hack-may-have-been-caused-by-security-issues-at-indian-it-giant-tata-consultancy-services,2025-05-26T09:06:32Z,TechRadar,TCS
"Tata Consultancy Services carries out internal probe into M&S hack, FT reports",(Reuters) -India's Tata Consultancy Services is conducting an internal investigation to determine whether it was the gateway for a cyberattack on UK's Marks and Spencer that compromised customer data… [+706 chars],M&S declined to comment and TCS did not immediately respond to a Reuters request for comment.  The cyberattack which M&S disclosed in April will cost the...,https://finance.yahoo.com/news/tata-consultancy-services-carries-internal-104427146.html,2025-05-23T10:44:27Z,Yahoo Entertainment,TCS
Indian IT giant investigates M&S cyber attack link,"An Indian IT company is conducting an internal investigation to determine whether it was the gateway for the cyber attack on Marks &amp; Spencer, BBC News understands.
Tata Consultancy Services (TCS… [+2206 chars]",M&S said earlier this week that the hackers got into systems via a third party - but did not say who that was.,https://www.bbc.com/news/articles/c989le2p3lno?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D,2025-05-23T19:54:15Z,BBC News,TCS
"Marks & Spencer’s IT contractor investigating potential systems breach, report claims","An Indian company that operates Marks &amp; Spencers IT helpdesk is reportedly investigating whether it was used by cybercriminals to gain access to systems at the retailer, which is battling a devas… [+2547 chars]",Tata Consulting Services said to be holding internal inquiry into whether its staff or systems were linked to recent cyber-attack,https://www.yahoo.com/news/marks-spencer-contractor-investigating-potential-130507427.html,2025-05-23T13:05:07Z,Yahoo Entertainment,TCS
Scattered Spider Uses Tech Vendor Impersonation and Phishing Kits to Target Helpdesks,"Scattered Spider, the ransomware collective believed to be behind recent retail hacks in the UK, including those targeting Marks &amp; Spencer (M&amp;S) and Harrods, has evolved its arsenal to incorp… [+4630 chars]",The ransomware group combines IT vendor impersonation and phishing frameworks like Evilginx to breach its targets,https://www.infosecurity-magazine.com/news/scattered-spider-tech-vendor/,2025-06-06T14:00:00Z,Infosecurity Magazine,TCS
M&S CEO directly targeted by hackers demanding ransom payout,<ul><li>Marks and Spencer CEO received communication from a ransom gang</li><li>This follows a devastating attack earlier in 2025</li><li>The email confirms a link between the M&amp;S and Co-op attac… [+2045 chars],DragonForce ransomware gang sent threatening emails directly to M&S CEO Stuart Machin.,https://www.techradar.com/pro/security/m-and-s-ceo-directly-targeted-by-hackers-demanding-ransom-payout,2025-06-06T09:41:13Z,TechRadar,TCS
The Potential Impact Of Tariffs On U.S.-India Tech Collaboration And Talent Mobility,"Founder &amp; CEO of Excellent Webworld. A tech innovator with 12+ years of experience in IT, leading 900+ successful projects globally.
getty
The $191 billion strategic economic collaboration betw… [+6124 chars]","Apart from the trade and financial implications, the tariff policies create a paradigm shift in tech talent exchange between the U.S. and India.",https://www.forbes.com/councils/forbestechcouncil/2025/06/05/the-potential-impact-of-tariffs-on-us-india-tech-collaboration-and-talent-mobility/,2025-06-05T11:15:00Z,Forbes,TCS
Former Black Basta Members Use Microsoft Teams and Python Scripts in 2025 Attacks,Former members tied to the Black Basta ransomware operation have been observed sticking to their tried-and-tested approach of email bombing and Microsoft Teams phishing to establish persistent access… [+6551 chars],"Former members tied to the Black Basta ransomware operation have been observed sticking to their tried-and-tested approach of email bombing and Microsoft Teams phishing to establish persistent access to target networks.
""Recently, attackers have introduced Py…",https://thehackernews.com/2025/06/former-black-basta-members-use.html,2025-06-11T17:44:00Z,Internet,TCS
